Instances,Source,algo_Hi_PR,algo_PAR,algo_P2R,algo_Pseudo_Hi_FIFO,feature_Order,feature_Size,feature_AvNdDgr,feature_AVScPotNetExcess,feature_CVAvNdDg,feature_ScCapDens
Genrmf_Moderate_a100_b70_c1000000(rate),RMF,2.936,2.371,2.78,2.137,700000,3462000,4.9457,0.00015,0.086863,1.10E-05
Genrmf_Moderate_a100_b70_c10000(rate),RMF,7.328,2.905,3.278,3.366,700000,3462000,4.9457,2.10E-05,0.086863,1.10E-05
Genrmf_Moderate_a10_b10_c1000(rate),RMF,0.001,0.001,0.001,0,1000,4500,4.5,0.002247,0.2668,0.007216
Genrmf_Moderate_a110_b180_c10000(rate),RMF,26.35,8.568,11.223,11.994,2178000,10798700,4.9581,1.70E-05,0.079097,4.00E-06
Genrmf_Moderate_a110_b50_c10000(rate),RMF,5.567,2.725,3.261,2.004,605000,2990900,4.9436,1.80E-05,0.086108,1.30E-05
Genrmf_Moderate_a110_b70_c100(rate),RMF,7.591,3.725,4.068,2.821,847000,4192100,4.9494,1.70E-05,0.083444,9.00E-06
Genrmf_Moderate_a120_b110_c100(rate),RMF,16.675,6.519,7.131,7.719,1584000,7852800,4.9576,1.50E-05,0.077852,5.00E-06
Genrmf_Moderate_a120_b160_c1000000(rate),RMF,7.274,5.742,6.766,7.982,2304000,11428800,4.9604,0.000138,0.076355,3.00E-06
Genrmf_Moderate_a120_b170_c1000000(rate),RMF,9.863,7.157,8.581,11.84,2448000,12144000,4.9608,0.000138,0.076159,3.00E-06
Genrmf_Moderate_a120_b200_c100000000(rate),RMF,1.736,0.989,1.461,3.438,2880000,14289600,4.9617,0.017479,0.075683,3.00E-06
Genrmf_Moderate_a120_b50_c100000000(rate),RMF,0.309,0.191,0.303,0.486,720000,3561600,4.9467,0.017684,0.083231,1.10E-05
Genrmf_Moderate_a120_b60_c1000000(rate),RMF,4.823,3.717,5.355,2.333,864000,4276800,4.95,0.00014,0.081645,9.00E-06
Genrmf_Moderate_a120_b70_c100000000(rate),RMF,0.574,0.332,0.512,0.864,1008000,4992000,4.9524,0.017601,0.080482,8.00E-06
